price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built
390000,4,2.5,1840,15496,2,0,0,3,8,1840,1991
265000,3,1.75,1630,5999,1.5,0,0,4,7,1630,1985
1093000,4,2.5,3930,21894,2,0,0,3,11,3930,1987
445000,3,2.25,1630,6449,1,0,0,3,7,1310,1986
241500,3,2,1310,7349,1,0,0,3,7,870,1995
375000,3,2.75,2200,9600,1,0,3,4,8,1570,1977
215000,3,1.75,1770,29004,1,0,0,3,8,1770,1959
1400000,5,4.25,3530,7924,2,0,0,3,10,3530,2001
252000,3,1,1530,9465,1,0,0,4,7,1530,1960
330490,3,2.75,1440,7350,1,0,0,4,7,1040,1980
4.00E+05,3,1.75,1370,9680,1,0,0,4,7,1370,1977
735000,3,2.5,2540,6762,2,0,0,3,10,2540,1998
190000,3,1,1180,8775,1,0,0,3,7,1180,1966
260000,4,2.5,2000,37045,2,0,0,3,8,2000,1989
1700000,5,3.5,5850,22885,2,0,2,4,11,4670,1978
505000,2,1,810,5060,1,0,0,3,6,810,1941
449950,4,3,2800,6977,2,0,0,3,8,2800,2003
520000,3,2.25,1770,7667,1,0,0,3,8,1270,1966
476000,4,1.75,2340,17541,1,0,0,4,7,1360,1956
590000,3,2.5,2210,8622,2,0,0,3,8,2210,1988
3100000,5,5.25,5090,23669,2,0,0,3,12,5090,2006
775000,3,3,1820,4300,1.5,0,0,4,8,1620,1914
510000,4,2.5,1620,8125,2,0,0,4,7,1620,1983
461100,2,2.25,1210,1267,2,0,0,3,8,1120,2010
338000,5,2,1860,9000,2,0,0,3,7,1860,1980
560000,4,2,1380,4048,1.5,0,0,4,7,1380,1906
84000,2,1,700,20130,1,0,0,3,6,700,1949
845000,5,2,1720,9972,1,0,0,4,8,1720,1951
289000,2,1,780,4132,1,0,0,3,7,780,1942
584999,4,2.75,2050,17859,1,0,0,4,7,1300,1967
460000,4,1.75,1560,7200,1,0,0,3,6,860,1943
250000,3,1,930,6060,1,0,0,4,6,930,1973
390000,4,1,1140,6250,1.5,0,0,3,6,1140,1958
315000,3,1.75,1860,9629,1,0,0,4,7,1240,1961
387500,2,1,870,6126,1,0,0,4,7,870,1938
262000,3,2.5,1970,8727,2,0,0,3,7,1970,1995
360000,3,1.75,1830,10000,2,0,0,4,7,1830,1913
315000,6,4,3120,4240,2,0,2,4,7,2090,1993
430000,4,1.75,1570,7650,1,0,0,3,7,1100,1975
250000,4,2,2170,5404,1.5,0,0,5,6,1470,1920
799000,4,2.75,3340,5677,2,0,0,3,9,3340,2011
309950,1,1,1120,11800,1.5,0,0,3,7,1120,1950
1050000,3,2.25,2480,15022,1,0,4,3,9,1330,1967
425000,4,2.5,2070,4427,2,0,0,3,7,2070,2007
915000,3,2.75,2800,9750,1,0,0,5,7,1400,1957
1010000,2,2,1460,9052,1,0,2,5,6,1460,1900
415000,3,1,1360,73616,1,0,0,3,7,1360,1971
320000,3,2.5,1820,1855,2,0,0,3,8,1570,2008
1339000,4,3.75,2130,34689,1.5,1,4,3,9,2130,1955
428000,2,2,1350,4225,1,0,0,3,8,1350,2003
6.00E+05,5,2.75,3380,8179,2,0,0,3,9,3380,2011
751000,3,2.5,2840,6854,2,0,0,3,9,2840,2002
424950,3,1.75,2090,7505,1,0,0,3,7,2090,1967
362000,5,2.5,2880,8216,2,0,0,3,8,2880,2001
382000,4,3.5,2530,3000,2,0,0,3,8,1850,2014
648000,5,2.25,2410,12000,2,0,0,4,8,2410,1973
571000,4,2.25,2290,9900,1,0,2,4,8,1550,1959
485000,3,1,1130,5758,1,0,0,3,7,960,1939
620000,6,3.5,3600,6875,2,0,0,3,8,2740,2004
545000,4,3.25,4386,12275,1,0,0,3,10,2356,2006
440000,4,1.5,1770,5750,2,0,0,3,7,1770,1947
360000,3,2.5,2150,14092,2,0,0,3,8,2150,1991
1800000,5,5,4490,10279,2,0,0,3,10,3930,2013
428000,3,2.5,2230,32660,1,0,0,4,8,2230,1977
420850,1,1,960,40946,1,0,0,5,5,960,1945
525000,3,2.5,2200,4544,2,0,0,3,8,2200,2000
379950,3,1.75,2040,12065,1,0,0,3,8,2040,1987
246000,5,1.75,2030,10200,1,0,0,4,7,2030,1958
3635000,5,6,5490,19897,2,0,0,3,12,5490,2005
1115000,4,2.5,3690,11191,1,0,3,4,10,2190,1951
330000,4,2.5,2080,7000,1,0,0,4,8,1400,1989
260000,3,2.5,1420,14850,1,0,0,4,7,1020,1963
460000,3,2.25,1650,7313,1,0,0,3,7,1220,1975
920000,4,3.25,2420,4000,1.5,0,0,5,9,1870,1911
507500,3,2,2020,8118,1,0,0,3,7,1020,1963
365000,4,2.5,2420,8404,2,0,0,3,8,2420,2013
375000,3,2.5,2750,37096,2,0,0,3,9,2750,1989
430000,3,2.75,2600,12860,1,0,0,3,7,1350,1965
1250000,4,2.5,2920,5500,1,0,3,3,10,2030,1957
328000,3,2.25,2020,8379,2,0,0,3,7,2020,1994
304000,3,1,1280,8184,1.5,0,0,4,6,1280,1947
180500,2,1,850,5000,1,0,0,3,6,850,1976
436000,3,2.25,1800,6680,2,0,0,3,8,1800,1983
507000,5,3.25,3850,16249,2,0,2,3,9,3030,2002
340000,3,1.75,2190,12626,2,0,0,4,8,2190,1978
307000,3,1.5,2320,7500,1,0,0,3,7,2320,1976
440000,3,2.5,2060,11231,2,0,0,3,8,2060,1987
1.00E+06,3,2.5,2044,5610,2,0,0,4,9,2044,1996
3.00E+05,3,2.5,2240,3691,2,0,0,3,7,2240,2003
239950,2,1,1280,5500,1,0,0,3,7,1280,1949
279000,4,1,1210,6000,1.5,0,2,3,7,1210,1943
365000,3,2.5,1720,99916,2,0,0,4,7,1720,1990
362500,3,1,1520,9507,1,0,0,3,7,1520,1954
432500,4,1.75,1500,1856,1,0,0,5,7,750,1901
296000,4,1.5,1370,9750,1,0,0,3,7,1070,1953
734000,3,1.75,2145,3840,1.5,0,0,5,8,2145,1910
949880,4,2.25,2290,10687,2,0,0,3,9,2290,1978
495000,4,2.5,2400,11640,1,0,0,5,8,1800,1968
415000,4,2.5,1160,16008,1,0,0,4,7,1160,1989
891500,3,2.5,3090,20785,2,0,0,4,10,3090,1991
775000,5,1.5,1720,5000,1.5,0,0,3,8,1720,1915
224500,3,1.75,1300,7735,1,0,0,4,7,1300,1980
2750000,4,4,4130,5575,2,1,4,4,10,2860,1993
282500,4,1,1650,9750,1,0,0,4,7,1650,1964
666000,3,2.25,2780,31510,2,0,0,3,8,2780,1979
750000,3,2.5,2790,21043,2,0,0,3,9,2790,1993
559000,2,2,1660,4500,1,0,0,3,8,1660,2003
869000,4,3,3740,30884,2,0,0,3,9,3060,1988
450000,3,2.25,1610,8296,2,0,0,3,8,1610,1978
698000,3,1.75,1220,7447,1,0,0,4,7,1220,1964
395000,3,1.75,1740,6220,1,0,0,4,6,1740,1954
425000,3,2.25,1870,9000,1,0,0,3,7,1440,1978
375000,3,1.75,2140,13598,1.5,0,0,4,7,1620,1970
590000,4,2.5,2940,12600,1,0,0,4,8,1850,1974
246950,3,3.5,1790,1682,2,0,0,3,7,1480,2006
1.00E+06,3,1.75,2610,6360,2,0,2,3,8,2130,1924
525000,4,2.75,2530,17856,2,0,0,3,8,2530,1998
216000,2,1,1130,12500,1,0,0,4,7,1130,1953
385000,4,2.75,2960,10454,1,0,1,3,8,2360,1979
5.00E+05,3,1.75,1690,48096,1,0,0,3,7,1690,1973
529900,5,2.25,3030,9430,2,0,0,4,8,2600,1961
325000,2,1,620,14823,1,0,0,3,6,620,1926
550500,2,1.5,930,7400,1,0,2,4,7,830,1909
575000,3,1.75,1720,5956,2,0,0,3,8,1720,1981
1110000,4,2.5,2990,8640,1,0,0,5,8,2100,1959
323000,3,1.75,1950,15037,1,0,0,3,7,1950,1989
478000,2,2,1200,1867,1,0,0,3,7,600,1924
652450,3,2.25,2230,11835,1,0,0,5,8,1630,1974
509500,5,2.25,2060,9000,1,0,0,4,7,1320,1961
320000,3,3.25,1480,1192,2,0,0,3,8,1180,2013
1999000,4,3.25,3910,7500,2,0,2,4,11,2550,1933
329900,3,2.5,2242,4995,2,0,0,3,8,2242,2011
385000,3,1.75,1200,7360,1,0,0,4,7,1200,1978
427550,2,1,880,4000,1,0,0,3,7,880,1940
670000,5,2.25,2290,39000,2,0,0,3,8,2290,1979
349950,3,1,1400,7066,1,0,0,3,8,1400,1957
570000,4,2.5,2280,4534,2,0,0,3,8,2280,2003
492000,3,2.25,2100,7335,2,0,0,3,8,2100,1983
320000,4,2.5,1970,4558,2,0,0,3,8,1970,2005
310000,4,3,2320,7200,2,0,0,3,7,2320,1976
469000,3,1.75,1480,800,2,0,0,3,8,1000,2014
699950,4,2,2070,7830,1,0,1,5,7,1180,1941
898000,3,2.25,2650,12845,1,0,3,3,9,1770,1977
580000,5,2.5,2720,5000,1.5,0,0,4,7,1530,1939
626700,3,1.5,1410,3600,1,0,0,3,7,1410,1906
695000,5,2,3160,3990,1.5,0,0,3,7,1870,1923
641000,3,1.75,1480,9603,1,0,0,3,7,1480,1952
524000,3,2.25,2140,6720,1,0,0,3,8,1440,1961
215000,4,2,1470,7000,1,0,0,4,8,1470,1967
710000,4,2.75,2090,8064,2,0,0,5,7,2090,1967
735000,3,1.75,2250,11520,1,0,1,3,8,2250,1956
321500,4,2.5,1930,6228,2,0,0,3,8,1930,2000
269950,4,2.5,2540,8400,2,0,0,5,7,2540,1977
487000,4,2.25,2400,7000,1,0,0,4,8,1800,1965
375000,3,3.25,2760,6420,2,0,2,3,9,2110,1991
6.00E+05,2,1.75,1560,3200,1,0,0,5,7,880,1946
839704,4,3.25,2950,4161,2,0,0,3,10,2210,2014
321000,4,2.5,2430,5366,2,0,0,3,8,2430,2002
295000,2,2.5,1630,1368,2,0,0,3,7,1280,2009
4.00E+05,4,1.75,1810,9750,2,0,0,4,7,1810,1977
1475000,5,4,4770,31570,2,0,0,3,12,4770,1990
332500,3,1.5,1500,6332,1,0,0,3,7,1500,1953
315000,3,2,1300,3731,1,0,0,3,7,900,1993
950000,4,2,2490,4600,1.5,0,2,3,8,2090,1926
980000,4,1.75,2120,4000,1.5,0,0,4,8,1920,1929
920000,4,2.5,3550,10233,2,0,0,3,9,3550,1996
794154,4,2,2210,8556,1,0,1,4,8,1210,1954
243800,3,1,1140,27760,1,0,0,4,6,1140,1981
295000,3,2,1760,6092,1,0,0,3,7,1760,1998
255000,3,1,1250,10094,1,0,0,4,6,1250,1927
317000,3,2,1760,11410,1,0,0,5,7,1060,1977
227500,3,1,1150,8848,1,0,0,3,7,1150,1968
2.00E+05,3,1,1050,5000,1,0,0,4,6,1050,1967
755000,2,2.5,1360,2070,2,0,0,3,8,1360,1999
399000,3,1,1340,7191,1,0,0,3,7,1340,1974
935000,3,3.25,3710,38509,2,0,0,3,10,3710,1998
275000,3,1,990,9798,1,0,0,3,7,990,1968
210000,3,1.5,1920,61014,1,0,0,3,6,1920,1953
538250,3,2.25,2590,15229,2,0,3,3,8,2590,1984
480000,3,2.25,1680,9090,1,0,0,4,7,1130,1959
3168750,5,3.5,4330,11979,1,0,4,3,12,2090,2008
424000,3,2.5,1820,7500,2,0,0,3,8,1820,1985
3200000,4,3.25,7000,28206,1,1,4,4,12,3500,1991
320000,4,2.75,2150,9163,1,0,0,3,8,1340,1992
530000,3,3.5,1550,1233,2,0,0,3,8,1160,2005
430100,3,2.25,1400,1078,2,0,0,3,8,940,2009
262000,4,1.5,1840,9009,2,0,0,3,7,1840,1965
736000,3,2.25,2470,11603,2,0,2,3,8,1540,1988
425000,3,2.25,1260,3000,2,0,0,3,7,1260,2003
227000,3,1.75,2380,12681,1,0,0,1,6,1380,1918
565000,3,3,2110,4000,1,0,2,4,7,1110,1965
334900,4,1.75,2180,4066,1.5,0,0,3,6,1270,1911
560000,3,1,1440,5000,2,0,0,3,7,1440,1910
2.00E+05,3,1.5,1140,8340,1,0,0,3,7,1140,1960
175000,3,1,1010,7034,1,0,0,3,7,1010,1954
380000,4,1.75,2030,12518,1,0,0,3,8,1610,1950
287000,3,1,1250,26862,1,0,0,3,7,1250,1965
815000,4,3.5,3040,4006,2,0,0,3,8,2350,2013
785000,4,2.5,3230,21781,2,0,0,3,9,3230,1993
450000,2,2,1730,4248,2,0,0,3,7,1730,1905
382495,3,2.5,1760,5390,1,0,0,3,8,1760,2014
760000,4,3.25,2590,3889,3,0,0,3,9,2590,2013
349950,3,2.5,1700,7496,2,0,0,3,8,1700,1994
470000,4,1.75,1650,7276,1,0,0,3,7,1010,1977
294000,4,2,2930,12840,1.5,0,0,4,8,2930,1965
1300000,3,2,2350,15021,1,0,0,4,8,1770,1976
345000,4,2.5,2040,5875,2,0,0,3,8,2040,2004
194250,3,2.25,2190,8834,1,0,0,3,7,1390,1987
675000,4,3.5,2140,2278,3,0,0,3,9,2140,2005
391000,3,2,1490,9000,1,0,0,4,8,1490,1977
569000,4,1.75,1230,7890,1,0,1,4,7,1090,1950
755000,3,2.5,2420,8856,1,0,3,3,9,1620,1957
825000,3,2.5,3400,38400,1,0,4,3,8,1870,1955
259950,3,2.5,1578,7340,2,0,0,3,7,1578,2010
453500,3,1.75,1550,7270,1.5,0,0,5,7,1550,1953
1150000,4,3.25,4740,49091,2,0,0,3,11,4740,1990
355000,4,3,2580,9601,2,0,0,4,7,2130,1992
480000,4,2.5,2980,4074,2,0,0,3,8,2980,2011
353000,3,2.5,1250,864,3,0,0,3,8,1250,2004
460000,3,1.75,1290,8580,1,0,0,4,7,1290,1962
310000,3,2.5,1670,4220,2,0,0,3,7,1670,2002
270000,3,1.75,1800,7763,1,0,0,3,6,1470,1984
2140000,4,3.75,5150,453895,2,0,3,3,11,4360,1997
433500,3,1,1230,6000,1,0,0,4,7,780,1937
410000,4,2.5,3320,5034,2,0,0,4,7,3320,2006
5110800,5,5.25,8010,45517,2,1,4,3,12,5990,1999
685000,3,2.5,2370,4950,2,0,0,3,8,2370,2003
440000,3,2,1650,6408,2,0,0,4,8,1650,1977
353000,3,2.75,2170,8396,2,0,0,3,7,2170,1995
935000,2,2.5,1780,2067,2,0,0,5,9,1780,1974
1027000,3,2.5,2430,10500,2,0,1,3,9,2430,1989
385000,4,2.5,2960,5054,2,0,0,3,9,2960,2006
557000,3,2.5,1630,1587,3,0,0,3,8,1630,2004
405000,5,2.75,2400,4900,2,0,0,3,8,2400,2011
783000,4,2.75,2080,5000,1,0,0,5,8,1470,1940
399950,3,2,2050,9396,1,0,0,5,7,1170,1960
425000,3,2.25,1740,9682,1,0,0,5,8,1740,1969
685000,4,2.25,3133,16197,2,0,0,3,9,2533,1965
210000,3,1,860,11725,1,0,0,4,6,860,1943
455000,2,1.5,1310,12196,1.5,0,0,3,6,1310,1970
210000,3,2.25,2140,9775,1,0,0,4,7,1470,1978
520000,4,1,2080,3500,1.5,0,0,5,7,1260,1926
324360,3,2.5,2000,9669,2,0,0,4,8,2000,1992
299000,3,2.5,2450,7062,2,0,0,3,8,2450,1993
425000,3,2.5,1120,1100,2,0,0,3,8,820,2008
425000,3,1.5,1300,19163,1,0,0,3,7,1300,1964
425000,2,1.75,1550,7800,1,0,0,3,7,1050,1940
575000,3,1.75,1580,11750,1,0,0,4,7,1180,1951
472500,3,2,1750,15500,1,0,0,3,7,1490,1982
450000,3,2.75,1250,892,2,0,0,3,8,1040,2010
585000,2,1.75,1280,7110,1,0,0,4,7,1000,1955
440000,3,2.5,1390,4997,2,0,0,3,7,1390,2004
350000,3,2,1380,3600,3,0,0,3,8,1380,2015
275000,3,1,1190,27215,1,0,0,5,7,1190,1943
1100000,4,3.75,5070,60123,2,0,0,3,11,5070,2000
160000,3,1.75,1010,5355,1,0,0,3,6,1010,1950
349500,3,2,1130,16875,1,0,0,4,7,1130,1947
510000,4,2.5,2600,118666,1,0,0,3,7,1400,1981
625000,3,1.5,1300,7200,1,0,0,5,7,1300,1960
250000,3,1,1480,6750,1,0,0,3,7,1480,1958
432500,6,2,3080,5500,2,0,0,1,7,3080,1900
1050000,5,2.25,2960,7680,1,0,2,5,8,1550,1958
452000,6,2.25,2660,13579,2,0,0,3,7,2660,1937
590000,3,3,1740,1100,3,0,0,3,8,1740,2007
740000,3,2,2100,72745,1,0,0,4,9,2100,1995
5.00E+05,4,4.5,2690,7350,1.5,0,0,5,7,2690,1949
277500,4,2,1700,12048,2,0,0,3,7,1700,1990
468000,2,1.75,1250,7029,1,0,0,4,7,1250,1986
229900,3,1,1010,8848,1,0,0,4,7,1010,1968
619000,3,2.5,2560,43608,2,0,0,3,9,2560,2002
488800,4,2.25,2170,9665,1,0,0,4,8,1300,1976
350000,3,2.25,1860,8378,2,0,0,3,7,1860,1995
202000,1,0.75,590,5650,1,0,0,3,6,590,1944
375000,5,1.5,2050,9360,1,0,0,3,7,1520,1968
450000,4,2.5,2240,4616,2,0,0,3,7,1840,2001
580000,4,2.25,2610,7700,1,0,0,3,8,1700,1977
499160,4,2.5,2628,11466,2,0,0,3,9,2628,2014
357000,2,1,870,4600,1,0,0,4,7,870,1942
525000,2,1,880,4000,1,0,0,3,7,880,1940
591000,4,2.25,2710,38180,2,0,0,4,8,2710,1977
497000,3,3,2060,1850,2,0,0,3,8,1400,2007
324000,3,2.5,1940,8347,2,0,0,3,8,1940,1990
435000,3,1.75,1310,8065,1,0,0,4,6,1310,1948
375000,4,2.5,2250,5306,2,0,0,3,8,2250,2012
660000,3,1.75,1750,5200,1,0,1,4,8,1750,1956
215000,4,2,1540,7575,1,0,0,4,7,1040,1978
760000,3,2,1780,1750,1,0,2,3,8,1400,1927
675000,3,2.5,2550,4954,1.5,0,0,4,7,1850,1924
579000,2,2.5,1280,1051,2,0,0,3,8,1080,2009
665000,3,2.25,2580,6000,2,0,0,3,8,1780,1925
749700,3,1.75,2280,77972,1,0,0,3,8,1460,1977
570000,4,3,2710,217800,2.5,0,0,3,9,2710,2006
407000,4,2.5,2927,6000,2,0,0,3,7,2927,2011
525126,5,2.25,1950,8025,1,0,2,3,7,1150,1960
525000,5,3,2750,3800,1.5,0,0,5,7,1750,1926
439000,3,2.25,1830,13477,1,0,3,4,7,1170,1981
799000,4,2.5,3170,94855,1,0,0,4,9,1910,1978
575000,3,2,940,5000,1,0,0,3,7,880,1941
280000,3,2.5,1800,8697,2,0,0,3,8,1800,1987
522500,4,1.75,2100,6480,1,0,0,5,7,1300,1947
530000,3,2.5,2030,10958,2,0,0,3,8,2030,1983
245000,3,1.75,1670,24650,1,0,0,4,7,1670,1974
660000,3,1.75,1320,5750,1.5,0,0,5,7,1320,1918
685000,4,2.5,2820,10125,2,0,0,3,8,2820,2008
275000,3,3,1590,7750,1,0,0,3,7,1060,1997
4489000,4,3,6430,27517,2,0,0,3,12,6430,2001
829000,4,3,3310,4500,2.5,0,0,5,9,2910,1900
426000,4,2.5,2800,8494,2,0,0,3,8,2800,2004
440000,3,2,1860,217800,2,0,2,3,8,1860,1998
650000,3,2,2660,257875,1,0,2,4,8,1530,1976
1395710,4,2.25,3960,8640,2,0,2,3,9,2630,1925
590000,4,2.5,2240,9385,2,0,0,3,8,2240,1991
391000,3,2.25,1410,1290,2,0,0,3,7,1290,2004
515000,4,2.5,1910,8947,1,0,0,4,8,1160,1970
249950,3,1.5,1090,7698,1,0,0,5,7,1090,1966
121800,2,1,940,8384,1,0,0,3,5,940,1947
1060000,4,3.75,3880,9979,2.5,0,0,3,10,3880,2007
214950,3,1,1400,6600,1,0,0,3,6,1280,1954
245000,2,1,1200,4880,1,0,0,3,6,980,1943
435000,4,2.25,1780,2684,2,0,0,3,7,1780,2002
253500,3,1,1640,12384,1,0,0,4,7,1090,1954
315000,3,2.5,1260,2767,2,0,0,3,8,1260,1999
850000,5,3.5,3150,4120,2,0,0,3,8,2460,1911
515000,3,2.5,1540,6100,1,0,0,3,6,770,1944
925000,4,2.25,2590,13894,2,0,0,4,9,2590,1975
507000,3,1.75,2140,40098,1,0,0,5,8,1490,1950
197500,3,1,980,3090,1.5,0,0,3,6,980,1903
559630,4,2.5,3370,4934,2,0,0,3,9,3370,2014
275000,4,2.75,2060,7350,1,0,0,3,7,1210,1978
650000,3,2.5,2350,3750,2,0,0,3,7,1740,2003
496000,5,1.75,2110,8500,1,0,0,3,7,1100,1962
1760000,4,5,6055,21630,1,0,3,4,12,3555,1996
360000,3,1.75,1330,7482,1,0,0,4,7,1330,1975
347500,3,1.5,1180,8353,1,0,0,3,7,1180,1960
270000,3,2.25,2390,7000,1,0,0,4,7,1990,1970
560000,4,1.75,2150,8555,1,0,2,4,7,1460,1982
255000,3,2.25,1320,963,2,0,0,3,7,1040,2007
575000,3,3,1384,1287,2,0,0,3,8,1144,2006
760000,3,3.5,2350,10739,1,0,2,5,7,1340,1940
930000,3,3.25,2640,4080,2,0,0,3,9,1840,1912
210000,2,1.5,880,1157,2,0,0,3,7,880,2007
1014250,3,1,1640,12855,1.5,0,0,5,6,1500,1920
5.00E+05,4,2,2280,7200,1,0,0,4,7,2280,1956
585000,3,2.5,2290,5089,2,0,0,3,9,2290,2001
3.00E+05,2,1,960,8153,1,0,0,3,6,960,1947
457500,3,1,960,4600,1.5,0,0,4,6,960,1927
475000,2,1,870,7975,1,0,2,3,7,870,1946
301000,2,1,910,9000,1,0,0,3,5,910,1923
605004,4,2,1370,4000,2,0,0,3,9,1370,1951
185000,2,1,670,6750,1,0,0,4,5,670,1947
440000,3,1.75,2000,11880,2,0,0,3,8,2000,1979
9.00E+05,4,3,3810,217800,2,0,0,3,9,3810,2003
979000,3,1.5,1700,14133,1,0,1,4,8,1700,1954
459000,2,2.25,1010,1107,2,0,0,3,8,710,2006
269500,4,2.25,1700,7056,2,0,0,3,7,1700,1999
112000,1,1,1080,3230,1,0,0,3,6,1080,1963
296000,4,2.5,1780,3600,2,0,0,3,7,1780,2006
1110000,5,3.25,3350,4000,2,0,0,4,8,2510,1997
460000,2,1,890,2100,1,0,0,4,6,760,1919
335000,3,2,1410,44866,1,0,0,4,7,1410,1985
347000,2,1.75,1315,2162,2,0,0,4,8,1315,1974
4.00E+05,3,1.75,1730,9211,1,0,0,3,8,1730,1961
290000,2,1,1250,12507,1,0,0,5,7,1250,1958
722500,4,3.5,2600,5100,2,0,0,3,8,1820,2003
949950,5,2.5,2340,1989,2,1,4,3,8,2340,1959
650000,3,1,1300,8266,1,0,0,4,7,1300,1953
968060,4,2.5,2620,16200,1,0,2,4,7,1570,1950
730000,4,2.75,3800,9606,2,0,0,3,9,3800,2008
229000,4,2.25,2010,7688,1,0,0,3,8,1170,1979
355000,3,2.25,1370,1524,3,0,0,3,8,1370,2005
520000,3,3.25,1540,1487,2,0,0,3,8,1540,2011
385000,4,3,2090,5102,1,0,0,3,7,1350,1994
248500,2,1,780,10064,1,0,0,4,7,780,1958
348000,3,1.5,1040,1824,1,0,0,3,6,1040,1925
436952,4,2.5,2708,4772,2,0,0,3,9,2708,2014
310000,3,1.75,1420,7650,1,0,0,4,7,1100,1984
330000,3,1.5,1430,8000,1,0,0,5,7,1430,1948
780000,3,1.75,2430,4524,1.5,0,0,4,7,1830,1924
367950,3,1.75,2290,8234,1,0,0,4,7,1250,1950
320000,2,1,1210,7040,1,0,0,3,7,1210,1952
430000,2,2.5,1520,1588,2,0,0,3,8,1240,2007
442200,4,1.75,1620,8132,1,0,0,3,8,1620,1974
555950,2,1,1220,5040,1,0,0,3,7,1220,1961
549000,5,2.5,3440,12350,1,0,2,4,9,1760,1976
775000,4,2.5,3310,5101,2,0,0,3,9,3310,2005
1700000,4,3.5,4330,15335,2,0,0,4,11,3230,1988
185000,2,1,820,16030,1,0,0,4,5,820,1923
299900,4,2.5,2200,5730,2,0,0,3,8,2200,2003
263000,3,1.75,1660,7210,1,0,0,4,7,1660,1977
803000,2,1,1440,33747,1.5,0,0,3,7,1440,1928
360000,3,2.75,2030,6840,1,0,0,3,7,1210,1979
